episode,return,steps,epsilon,avg_mastery,frac_mastery3,mastered_hard,mastered_soft
0,481.9999999999994,100,0.2,1.6666666666666667,0.3333333333333333,0,0
1,484.9999999999989,100,0.19940000000000002,1.0,0.3333333333333333,0,0
2,411.9999999999994,100,0.19880180000000003,1.6666666666666667,0.3333333333333333,0,0
3,543.9999999999989,100,0.19820539460000003,1.6666666666666667,0.3333333333333333,0,0
4,380.99999999999966,100,0.19761077841620003,1.3333333333333333,0.3333333333333333,0,0
5,430.9999999999994,100,0.19701794608095144,1.0,0.3333333333333333,0,0
6,334.999999999999,100,0.1964268922427086,1.0,0.3333333333333333,0,0
7,314.70000000000005,73,0.19583761156598048,3.0,1.0,1,1
8,372.9999999999998,100,0.19525009873128255,1.3333333333333333,0.3333333333333333,0,0
9,399.99999999999983,100,0.1946643484350887,1.0,0.3333333333333333,0,0
10,388.99999999999943,100,0.19408035538978344,1.6666666666666667,0.3333333333333333,0,0
11,527.9999999999993,100,0.19349811432361408,1.0,0.3333333333333333,0,0
12,538.9999999999994,100,0.19291761998064325,1.0,0.3333333333333333,0,0
13,565.9999999999993,100,0.1923388671207013,1.0,0.3333333333333333,0,0
14,446.9999999999995,100,0.1917618505193392,1.0,0.3333333333333333,0,0
15,379.9999999999993,100,0.19118656496778116,1.6666666666666667,0.3333333333333333,0,0
16,415.9999999999999,100,0.19061300527287783,1.0,0.3333333333333333,0,0
17,678.999999999999,100,0.1900411662570592,1.0,0.3333333333333333,0,0
18,642.999999999999,100,0.18947104275828802,1.0,0.3333333333333333,0,0
19,475.99999999999903,100,0.18890262963001317,1.3333333333333333,0.3333333333333333,0,0
20,521.9999999999991,100,0.18833592174112312,2.0,0.3333333333333333,0,0
21,468.9999999999997,100,0.18777091397589976,1.0,0.3333333333333333,0,0
22,568.9999999999987,100,0.18720760123397207,1.0,0.3333333333333333,0,0
23,619.999999999999,100,0.18664597843027014,1.0,0.3333333333333333,0,0
24,429.9999999999993,100,0.18608604049497934,1.3333333333333333,0.3333333333333333,0,0
25,615.999999999999,100,0.1855277823734944,1.0,0.3333333333333333,0,0
26,381.9999999999995,100,0.18497119902637393,1.3333333333333333,0.3333333333333333,0,0
27,384.9999999999993,100,0.1844162854292948,1.3333333333333333,0.3333333333333333,0,0
28,437.9999999999995,100,0.18386303657300693,1.3333333333333333,0.3333333333333333,0,0
29,347.9999999999994,100,0.1833114474632879,1.6666666666666667,0.3333333333333333,0,0
30,620.999999999999,100,0.18276151312089803,1.3333333333333333,0.3333333333333333,0,0
31,579.9999999999992,100,0.18221322858153532,1.0,0.3333333333333333,0,0
32,611.9999999999992,100,0.1816665888957907,1.3333333333333333,0.3333333333333333,0,0
33,603.9999999999989,100,0.18112158912910334,1.3333333333333333,0.3333333333333333,0,0
34,693.9999999999989,100,0.18057822436171603,1.0,0.3333333333333333,0,0
35,508.99999999999926,100,0.18003648968863087,1.3333333333333333,0.3333333333333333,0,0
36,368.99999999999926,100,0.179496380219565,1.3333333333333333,0.3333333333333333,0,0
37,534.9999999999991,100,0.1789578910789063,1.0,0.3333333333333333,0,0
38,480.9999999999993,100,0.1784210174056696,1.6666666666666667,0.3333333333333333,0,0
39,428.99999999999926,100,0.17788575435345258,1.6666666666666667,0.3333333333333333,0,0
40,634.9999999999991,100,0.1773520970903922,1.3333333333333333,0.3333333333333333,0,0
41,472.99999999999926,100,0.17682004079912103,1.3333333333333333,0.3333333333333333,0,0
42,542.9999999999991,100,0.17628958067672368,1.0,0.3333333333333333,0,0
43,521.9999999999992,100,0.1757607119346935,1.0,0.3333333333333333,0,0
44,404.9999999999996,100,0.17523342979888942,1.3333333333333333,0.3333333333333333,0,0
45,614.9999999999991,100,0.17470772950949276,1.6666666666666667,0.3333333333333333,0,0
46,645.999999999999,100,0.17418360632096427,1.6666666666666667,0.3333333333333333,0,0
47,507.99999999999903,100,0.1736610555020014,1.3333333333333333,0.3333333333333333,0,0
48,456.99999999999926,100,0.1731400723354954,1.3333333333333333,0.3333333333333333,0,0
49,447.99999999999943,100,0.1726206521184889,1.6666666666666667,0.3333333333333333,0,0
50,273.00000000000006,100,0.17210279016213342,1.6666666666666667,0.3333333333333333,0,0
51,270.0000000000001,100,0.171586481791647,1.0,0.3333333333333333,0,0
52,353.99999999999983,100,0.17107172234627208,1.0,0.3333333333333333,0,0
53,472.9999999999994,100,0.17055850717923327,1.3333333333333333,0.3333333333333333,0,0
54,461.9999999999991,100,0.17004683165769557,2.3333333333333335,0.6666666666666666,0,0
55,465.9999999999993,100,0.1695366911627225,1.0,0.3333333333333333,0,0
56,498.9999999999992,100,0.1690280810892343,1.6666666666666667,0.3333333333333333,0,0
57,578.9999999999994,100,0.1685209968459666,1.0,0.3333333333333333,0,0
58,448.9999999999996,100,0.16801543385542872,1.3333333333333333,0.3333333333333333,0,0
59,526.9999999999991,100,0.16751138755386244,1.6666666666666667,0.3333333333333333,0,0
60,404.9999999999991,100,0.16700885339120086,1.0,0.3333333333333333,0,0
61,442.9999999999993,100,0.16650782683102727,1.6666666666666667,0.3333333333333333,0,0
62,514.9999999999993,100,0.16600830335053418,1.3333333333333333,0.3333333333333333,0,0
63,514.9999999999991,100,0.16551027844048258,1.3333333333333333,0.3333333333333333,0,0
64,507.9999999999993,100,0.16501374760516113,1.6666666666666667,0.3333333333333333,0,0
65,571.9999999999992,100,0.16451870636234564,1.6666666666666667,0.3333333333333333,0,0
66,641.999999999999,100,0.16402515024325862,2.0,0.6666666666666666,0,0
67,477.9999999999992,100,0.16353307479252885,1.0,0.3333333333333333,0,0
68,541.9999999999994,100,0.16304247556815127,0.6666666666666666,0.0,0,0
69,512.9999999999995,100,0.1625533481414468,1.3333333333333333,0.3333333333333333,0,0
70,354.9999999999999,100,0.16206568809702246,1.0,0.3333333333333333,0,0
71,391.9999999999995,100,0.1615794910327314,2.0,0.6666666666666666,0,0
72,494.99999999999943,100,0.1610947525596332,1.0,0.3333333333333333,0,0
73,415.9999999999993,100,0.1606114683019543,1.0,0.3333333333333333,0,0
74,565.9999999999993,100,0.16012963389704843,1.3333333333333333,0.3333333333333333,0,0
75,428.9999999999993,100,0.1596492449953573,1.0,0.3333333333333333,0,0
76,603.999999999999,100,0.1591702972603712,1.0,0.3333333333333333,0,0
77,460.9999999999991,100,0.1586927863685901,2.0,0.6666666666666666,0,0
78,300.9999999999998,100,0.15821670800948434,2.0,0.6666666666666666,0,0
79,318.99999999999983,100,0.1577420578854559,1.0,0.3333333333333333,0,0
80,458.99999999999955,100,0.15726883171179953,1.0,0.3333333333333333,0,0
81,459.9999999999995,100,0.15679702521666414,2.3333333333333335,0.3333333333333333,0,0
82,542.999999999999,100,0.15632663414101414,1.0,0.3333333333333333,0,0
83,541.9999999999993,100,0.1558576542385911,1.3333333333333333,0.3333333333333333,0,0
84,285.0000000000001,100,0.15539008127587534,2.6666666666666665,0.6666666666666666,0,1
