episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,58.399999999999956,100,1.3333333333333333,0,0,0.34825
1,49.94999999999995,100,1.0,0,0,0.34650875
2,87.40000000000003,100,2.0,0,0,0.34477620625
3,77.60000000000004,100,1.6666666666666667,0,0,0.34305232521875
4,100.70000000000006,100,1.3333333333333333,0,0,0.34133706359265625
5,101.74999999999996,100,2.0,0,0,0.33963037827469295
6,84.89999999999999,100,2.0,0,0,0.3379322263833195
7,62.149999999999984,100,2.0,0,0,0.3362425652514029
8,48.620000000000005,18,3.0,1,1,0.3345613524251459
9,55.54999999999994,100,1.0,0,0,0.3328885456630202
10,70.35000000000004,100,2.6666666666666665,1,0,0.33122410293470506
11,80.10000000000005,100,1.6666666666666667,0,0,0.32956798242003155
12,68.64999999999995,100,1.3333333333333333,0,0,0.3279201425079314
13,58.29999999999994,100,1.3333333333333333,0,0,0.32628054179539173
14,55.94999999999994,100,2.0,0,0,0.3246491390864148
15,49.94999999999993,100,2.0,0,0,0.3230258933909827
16,46.14999999999993,100,1.3333333333333333,0,0,0.3214107639240278
17,64.19999999999993,100,1.3333333333333333,0,0,0.31980371010440767
18,71.55000000000007,100,1.0,0,0,0.31820469155388564
19,57.49999999999993,100,2.0,0,0,0.31661366809611624
20,105.60000000000002,100,2.3333333333333335,0,0,0.31503059975563563
21,91.55000000000008,100,1.3333333333333333,0,0,0.31345544675685744
22,102.50000000000013,100,1.3333333333333333,0,0,0.31188816952307313
23,92.95000000000002,100,2.6666666666666665,1,0,0.31032872867545774
24,69.12999999999997,92,3.0,1,1,0.30877708503208046
25,71.20000000000003,100,1.0,0,0,0.30723319960692
26,63.250000000000014,100,1.3333333333333333,0,0,0.30569703360888545
27,83.65000000000019,100,2.0,0,0,0.304168548440841
28,81.24999999999994,100,2.6666666666666665,1,0,0.3026477056986368
29,81.3500000000001,100,1.3333333333333333,0,0,0.30113446717014364
30,67.74999999999997,100,2.0,0,0,0.29962879483429294
31,47.59999999999995,100,1.3333333333333333,0,0,0.29813065086012147
32,64.24999999999997,100,2.3333333333333335,0,0,0.2966399976058209
33,90.82999999999998,67,3.0,1,1,0.2951567976177918
34,65.49999999999996,100,2.3333333333333335,0,0,0.29368101362970284
35,61.89999999999994,100,2.0,0,0,0.29221260856155434
36,81.3000000000001,100,1.3333333333333333,0,0,0.29075154551874655
37,81.08999999999995,81,3.0,1,1,0.28929778779115284
38,84.90000000000013,100,1.0,0,0,0.28785129885219707
39,52.24999999999998,100,2.3333333333333335,0,0,0.2864120423579361
40,94.30000000000015,100,1.0,0,0,0.28497998214614645
41,57.44999999999994,100,2.0,0,0,0.2835550822354157
42,93.00000000000034,100,1.3333333333333333,0,0,0.2821373068242386
43,57.44999999999994,100,1.6666666666666667,0,0,0.2807266202901174
44,68.14999999999995,100,2.3333333333333335,0,0,0.2793229871886668
45,68.84999999999998,100,1.6666666666666667,0,0,0.2779263722527235
46,83.61999999999998,93,3.0,1,1,0.27653674039145987
47,52.699999999999946,100,1.0,0,0,0.27515405668950255
48,121.1500000000001,100,1.0,0,0,0.273778286406055
49,92.70000000000009,100,1.6666666666666667,0,0,0.2724093949740247
50,78.20000000000005,100,1.0,0,0,0.2710473479991546
51,67.89999999999993,100,2.0,0,0,0.2696921112591588
52,78.65,100,1.6666666666666667,0,0,0.26834365070286303
53,60.34999999999993,100,1.3333333333333333,0,0,0.2670019324493487
54,63.249999999999964,100,1.3333333333333333,0,0,0.26566692278710197
55,65.59999999999998,100,1.0,0,0,0.26433858817316647
56,44.629999999999995,27,3.0,1,1,0.26301689523230065
57,85.35000000000005,100,2.0,0,0,0.26170181075613913
58,47.999999999999936,100,1.6666666666666667,0,0,0.2603933017023584
59,92.40000000000008,100,1.6666666666666667,0,0,0.25909133519384664
60,82.90000000000008,100,1.0,0,0,0.2577958785178774
61,118.7500000000001,100,2.0,0,0,0.256506899125288
62,103.40000000000023,100,2.0,0,0,0.2552243646296616
63,119.80000000000032,100,1.0,0,0,0.2539482428065133
64,77.55,100,2.3333333333333335,0,0,0.25267850159248073
65,98.40000000000025,100,1.0,0,0,0.2514151090845183
66,110.05000000000004,95,3.0,1,1,0.2501580335390957
67,116.95000000000019,100,1.3333333333333333,0,0,0.24890724337140024
68,88.30000000000007,100,2.0,0,0,0.24766270715454325
69,56.449999999999946,100,1.0,0,0,0.24642439361877053
70,81.84999999999997,100,2.0,0,0,0.24519227165067667
71,79.85,35,3.0,1,1,0.24396631029242327
72,84.10000000000001,100,2.0,0,0,0.24274647874096114
73,104.75000000000017,100,1.6666666666666667,0,0,0.24153274634725633
74,52.549999999999926,100,1.0,0,0,0.24032508261552005
75,67.30000000000005,100,1.3333333333333333,0,0,0.23912345720244244
76,108.40000000000019,100,2.3333333333333335,0,0,0.2379278399164302
77,99.55000000000011,100,1.6666666666666667,0,0,0.23673820071684806
78,112.50000000000023,100,1.3333333333333333,0,0,0.23555450971326383
79,93.05000000000007,100,1.6666666666666667,0,0,0.2343767371646975
80,95.40000000000002,100,2.0,0,0,0.233204853478874
81,90.15000000000028,100,1.3333333333333333,0,0,0.23203882921147964
82,106.00000000000027,100,1.3333333333333333,0,0,0.23087863506542225
83,90.9000000000003,100,1.6666666666666667,0,0,0.22972424189009513
84,92.75000000000003,100,2.0,0,0,0.22857562068064466
85,68.89999999999995,100,2.0,0,0,0.22743274257724144
86,106.45000000000007,100,2.6666666666666665,1,0,0.22629557886435522
87,72.35000000000016,100,1.0,0,0,0.22516410097003345
88,84.61999999999995,73,3.0,1,1,0.2240382804651833
89,98.50000000000024,100,1.3333333333333333,0,0,0.22291808906285737
90,77.79999999999998,100,2.0,0,0,0.2218034986175431
91,84.65000000000006,100,1.0,0,0,0.22069448112445536
92,97.1500000000002,100,2.6666666666666665,1,0,0.21959100871883308
93,88.79999999999995,100,2.6666666666666665,1,0,0.2184930536752389
94,63.34999999999994,100,1.0,0,0,0.21740058840686272
95,60.84999999999998,100,2.0,0,0,0.2163135854648284
96,67.64999999999998,100,1.0,0,0,0.21523201753750426
97,87.50000000000014,100,1.6666666666666667,0,0,0.21415585744981674
