policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,40,737.200000,0,,,0.001
sarsa,0,1,40,824.900000,0,,,0.001
sarsa,0,2,29,827.510000,1,28,reward_spike>=190,0.001
sarsa,0,3,40,422.000000,0,,,0.001
sarsa,0,4,40,1049.800000,0,,,0.001
sarsa,0,5,40,748.800000,0,,,0.001
sarsa,0,6,33,844.070000,1,32,reward_spike>=190,0.001
sarsa,0,7,40,482.300000,0,,,0.001
sarsa,0,8,39,864.210000,1,38,reward_spike>=190,0.001
sarsa,0,9,40,817.400000,0,,,0.001
sarsa,0,10,28,656.320000,1,27,reward_spike>=190,0.001
sarsa,0,11,32,867.380000,1,31,reward_spike>=190,0.001
sarsa,0,12,40,678.700000,0,,,0.001
sarsa,0,13,30,640.300000,1,29,reward_spike>=190,0.001
sarsa,0,14,40,500.300000,0,,,0.001
sarsa,0,15,40,736.300000,0,,,0.001
sarsa,0,16,31,753.490000,1,30,reward_spike>=190,0.001
sarsa,0,17,33,743.370000,1,32,reward_spike>=190,0.001
sarsa,0,18,40,1053.200000,1,39,reward_spike>=190,0.001
sarsa,0,19,36,785.640000,1,35,reward_spike>=190,0.001
sarsa,0,20,20,542.700000,1,19,reward_spike>=190,0.001
sarsa,0,21,40,696.300000,0,,,0.001
sarsa,0,22,40,776.600000,0,,,0.001
sarsa,0,23,40,790.900000,0,,,0.001
sarsa,0,24,36,1128.140000,0,,,0.001
sarsa,0,25,40,371.900000,0,,,0.001
sarsa,0,26,16,412.140000,1,15,reward_spike>=190,0.000
sarsa,0,27,32,920.180000,1,31,reward_spike>=190,0.001
sarsa,0,28,25,638.550000,1,24,reward_spike>=190,0.001
sarsa,0,29,40,722.100000,0,,,0.001
sarsa,0,30,22,689.380000,1,21,reward_spike>=190,0.001
sarsa,0,31,38,824.320000,1,37,reward_spike>=190,0.001
sarsa,0,32,34,830.760000,1,33,reward_spike>=190,0.001
sarsa,0,33,40,736.200000,0,,,0.001
sarsa,0,34,40,686.300000,0,,,0.001
sarsa,0,35,40,935.700000,0,,,0.001
sarsa,0,36,40,499.100000,0,,,0.001
sarsa,0,37,25,804.350000,1,24,reward_spike>=190,0.001
sarsa,0,38,18,747.420000,1,17,reward_spike>=190,0.001
sarsa,0,39,32,671.680000,1,31,reward_spike>=190,0.002
sarsa,0,40,40,352.900000,0,,,0.002
sarsa,0,41,18,610.420000,1,17,reward_spike>=190,0.001
sarsa,0,42,17,579.230000,1,16,reward_spike>=190,0.001
sarsa,0,43,40,859.700000,0,,,0.001
sarsa,0,44,40,836.900000,0,,,0.001
sarsa,0,45,40,846.700000,0,,,0.001
sarsa,0,46,38,932.620000,1,37,reward_spike>=190,0.001
sarsa,0,47,30,699.500000,1,29,reward_spike>=190,0.001
sarsa,0,48,39,929.310000,1,38,reward_spike>=190,0.001
sarsa,0,49,40,621.600000,0,,,0.001
sarsa,0,50,21,693.290000,1,20,reward_spike>=190,0.001
sarsa,0,51,40,583.600000,0,,,0.001
sarsa,0,52,34,645.060000,1,33,reward_spike>=190,0.001
sarsa,0,53,27,601.530000,1,26,reward_spike>=190,0.001
sarsa,0,54,40,672.400000,1,39,reward_spike>=190,0.001
sarsa,0,55,26,936.540000,1,25,reward_spike>=190,0.001
sarsa,0,56,40,688.800000,0,,,0.001
sarsa,0,57,14,524.160000,1,13,reward_spike>=190,0.000
sarsa,0,58,32,840.880000,1,31,reward_spike>=190,0.001
sarsa,0,59,30,745.700000,1,29,reward_spike>=190,0.001
sarsa,0,60,40,745.900000,0,,,0.001
sarsa,0,61,40,678.600000,0,,,0.001
sarsa,0,62,36,875.540000,0,,,0.001
sarsa,0,63,40,555.000000,0,,,0.001
sarsa,0,64,40,1006.700000,0,,,0.001
sarsa,0,65,32,845.280000,1,31,reward_spike>=190,0.001
sarsa,0,66,40,787.800000,0,,,0.001
sarsa,0,67,40,778.100000,0,,,0.001
sarsa,0,68,40,679.100000,0,,,0.001
sarsa,0,69,31,940.390000,1,30,reward_spike>=190,0.001
sarsa,0,70,20,750.500000,1,19,reward_spike>=190,0.001
sarsa,0,71,40,1164.100000,1,39,reward_spike>=190,0.001
sarsa,0,72,34,843.960000,1,33,reward_spike>=190,0.001
sarsa,0,73,33,801.670000,1,32,reward_spike>=190,0.001
sarsa,0,74,37,793.430000,1,36,reward_spike>=190,0.001
sarsa,0,75,40,732.000000,0,,,0.001
sarsa,0,76,40,1106.900000,1,39,reward_spike>=190,0.001
sarsa,0,77,40,661.900000,0,,,0.001
sarsa,0,78,40,525.900000,0,,,0.001
sarsa,0,79,40,1158.400000,0,,,0.001
sarsa,0,80,39,786.110000,1,38,reward_spike>=190,0.001
sarsa,0,81,39,1180.010000,1,38,reward_spike>=190,0.001
sarsa,0,82,40,592.700000,0,,,0.001
sarsa,0,83,40,1037.000000,0,,,0.001
sarsa,0,84,35,997.550000,1,34,reward_spike>=190,0.001
sarsa,0,85,39,892.510000,1,38,reward_spike>=190,0.001
sarsa,0,86,40,815.400000,0,,,0.001
sarsa,0,87,40,674.700000,0,,,0.001
sarsa,0,88,40,564.300000,0,,,0.001
sarsa,0,89,40,916.100000,0,,,0.001
sarsa,0,90,40,978.400000,0,,,0.001
sarsa,0,91,30,866.200000,1,29,reward_spike>=190,0.001
sarsa,0,92,40,595.000000,0,,,0.001
sarsa,0,93,28,712.020000,1,27,reward_spike>=190,0.001
sarsa,0,94,18,523.320000,1,17,reward_spike>=190,0.001
sarsa,0,95,22,637.680000,1,21,reward_spike>=190,0.001
sarsa,0,96,20,818.400000,1,19,reward_spike>=190,0.001
sarsa,0,97,32,1022.480000,1,31,reward_spike>=190,0.001
sarsa,0,98,25,753.750000,1,24,reward_spike>=190,0.001
sarsa,0,99,33,657.970000,1,32,reward_spike>=190,0.001
sarsa,0,100,35,656.950000,1,34,reward_spike>=190,0.001
sarsa,0,101,20,708.700000,1,19,reward_spike>=190,0.001
sarsa,0,102,21,537.790000,1,20,reward_spike>=190,0.001
sarsa,0,103,40,613.400000,0,,,0.001
sarsa,0,104,23,694.170000,1,22,reward_spike>=190,0.001
sarsa,0,105,25,543.550000,1,24,reward_spike>=190,0.001
sarsa,0,106,40,747.300000,0,,,0.001
sarsa,0,107,40,566.800000,0,,,0.001
sarsa,0,108,40,513.500000,0,,,0.001
sarsa,0,109,28,694.020000,1,27,reward_spike>=190,0.001
sarsa,0,110,21,695.390000,1,20,reward_spike>=190,0.001
sarsa,0,111,33,940.670000,1,32,reward_spike>=190,0.001
sarsa,0,112,40,892.300000,0,,,0.001
sarsa,0,113,18,580.020000,1,17,reward_spike>=190,0.001
sarsa,0,114,40,739.400000,0,,,0.001
sarsa,0,115,25,1051.750000,1,24,reward_spike>=190,0.001
sarsa,0,116,30,840.500000,1,29,reward_spike>=190,0.001
sarsa,0,117,40,1026.700000,1,39,reward_spike>=190,0.001
sarsa,0,118,28,597.020000,0,,,0.001
sarsa,0,119,40,820.900000,0,,,0.001
sarsa,0,120,30,656.400000,1,29,reward_spike>=190,0.001
sarsa,0,121,26,919.640000,1,25,reward_spike>=190,0.001
sarsa,0,122,40,752.200000,0,,,0.001
sarsa,0,123,33,840.070000,1,32,reward_spike>=190,0.001
sarsa,0,124,37,687.930000,1,36,reward_spike>=190,0.001
sarsa,0,125,40,864.400000,0,,,0.001
sarsa,0,126,40,825.100000,0,,,0.001
sarsa,0,127,40,948.100000,0,,,0.001
sarsa,0,128,31,771.190000,1,30,reward_spike>=190,0.001
sarsa,0,129,40,497.300000,0,,,0.001
sarsa,0,130,40,997.300000,0,,,0.001
sarsa,0,131,25,752.150000,1,24,reward_spike>=190,0.001
sarsa,0,132,40,838.100000,0,,,0.001
sarsa,0,133,40,464.700000,0,,,0.001
sarsa,0,134,38,1036.720000,1,37,reward_spike>=190,0.001
sarsa,0,135,22,541.880000,0,,,0.001
sarsa,0,136,32,952.680000,1,31,reward_spike>=190,0.001
sarsa,0,137,32,615.080000,1,31,reward_spike>=190,0.001
sarsa,0,138,40,725.500000,0,,,0.001
sarsa,0,139,40,463.900000,0,,,0.001
sarsa,0,140,40,846.500000,0,,,0.001
sarsa,0,141,40,380.000000,0,,,0.001
sarsa,0,142,40,551.400000,0,,,0.001
sarsa,0,143,27,694.730000,1,26,reward_spike>=190,0.014
sarsa,0,144,20,763.600000,1,19,reward_spike>=190,0.001
sarsa,0,145,30,686.400000,0,,,0.002
sarsa,0,146,26,713.040000,0,,,0.001
sarsa,0,147,19,807.610000,1,18,reward_spike>=190,0.001
sarsa,0,148,34,939.060000,1,33,reward_spike>=190,0.001
sarsa,0,149,40,452.600000,0,,,0.002
sarsa,0,150,37,697.430000,1,36,reward_spike>=190,0.002
sarsa,0,151,40,859.200000,0,,,0.003
sarsa,0,152,40,750.400000,0,,,0.003
sarsa,0,153,27,573.430000,1,26,reward_spike>=190,0.002
sarsa,0,154,35,866.050000,1,34,reward_spike>=190,0.001
sarsa,0,155,40,1216.400000,0,,,0.001
sarsa,0,156,19,411.110000,1,18,reward_spike>=190,0.001
sarsa,0,157,40,844.300000,0,,,0.001
sarsa,0,158,30,864.100000,1,29,reward_spike>=190,0.001
sarsa,0,159,40,706.900000,0,,,0.001
sarsa,0,160,31,1093.890000,1,30,reward_spike>=190,0.001
sarsa,0,161,31,1064.390000,1,30,reward_spike>=190,0.001
sarsa,0,162,40,1074.300000,0,,,0.001
sarsa,0,163,20,654.300000,1,19,reward_spike>=190,0.001
sarsa,0,164,39,1166.110000,1,38,reward_spike>=190,0.001
sarsa,0,165,40,606.900000,0,,,0.001
sarsa,0,166,40,748.300000,0,,,0.001
sarsa,0,167,40,606.100000,0,,,0.001
sarsa,0,168,40,354.800000,0,,,0.001
sarsa,0,169,31,866.090000,1,30,reward_spike>=190,0.001
sarsa,0,170,40,1096.300000,0,,,0.001
sarsa,0,171,40,302.900000,0,,,0.002
sarsa,0,172,33,768.170000,1,32,reward_spike>=190,0.001
sarsa,0,173,40,1242.000000,0,,,0.001
sarsa,0,174,40,974.200000,0,,,0.003
sarsa,0,175,16,579.340000,1,15,reward_spike>=190,0.001
sarsa,0,176,40,1114.800000,0,,,0.002
sarsa,0,177,40,743.200000,0,,,0.002
sarsa,0,178,40,612.500000,0,,,0.001
sarsa,0,179,29,877.710000,1,28,reward_spike>=190,0.001
sarsa,0,180,26,751.440000,1,25,reward_spike>=190,0.001
sarsa,0,181,40,602.100000,0,,,0.001
sarsa,0,182,40,1264.600000,0,,,0.001
sarsa,0,183,40,1048.500000,0,,,0.001
sarsa,0,184,40,590.400000,0,,,0.001
sarsa,0,185,25,809.050000,1,24,reward_spike>=190,0.001
sarsa,0,186,32,919.280000,1,31,reward_spike>=190,0.001
sarsa,0,187,38,659.520000,1,37,reward_spike>=190,0.001
sarsa,0,188,40,791.800000,0,,,0.001
sarsa,0,189,15,468.350000,1,14,reward_spike>=190,0.000
sarsa,0,190,33,991.670000,1,32,reward_spike>=190,0.001
sarsa,0,191,40,765.400000,0,,,0.001
sarsa,0,192,40,904.800000,0,,,0.001
sarsa,0,193,26,694.540000,1,25,reward_spike>=190,0.001
sarsa,0,194,35,785.550000,1,34,reward_spike>=190,0.001
sarsa,0,195,40,850.200000,0,,,0.001
sarsa,0,196,30,824.000000,1,29,reward_spike>=190,0.001
sarsa,0,197,33,979.670000,1,32,reward_spike>=190,0.001
sarsa,0,198,37,996.930000,1,36,reward_spike>=190,0.001
sarsa,0,199,40,792.200000,0,,,0.001
sarsa,0,200,34,880.460000,1,33,reward_spike>=190,0.001
sarsa,0,201,19,635.410000,1,18,reward_spike>=190,0.001
sarsa,0,202,39,1015.310000,1,38,reward_spike>=190,0.001
sarsa,0,203,22,820.280000,1,21,reward_spike>=190,0.001
sarsa,0,204,39,1447.710000,1,38,reward_spike>=190,0.001
sarsa,0,205,40,879.400000,0,,,0.001
sarsa,0,206,20,637.800000,1,19,reward_spike>=190,0.001
sarsa,0,207,40,619.400000,0,,,0.001
sarsa,0,208,35,898.750000,1,34,reward_spike>=190,0.001
sarsa,0,209,40,990.500000,0,,,0.001
sarsa,0,210,40,653.300000,0,,,0.001
sarsa,0,211,31,528.090000,1,30,reward_spike>=190,0.001
sarsa,0,212,28,526.920000,1,27,reward_spike>=190,0.001
sarsa,0,213,29,1065.110000,1,28,reward_spike>=190,0.001
sarsa,0,214,40,690.000000,0,,,0.001
sarsa,0,215,40,937.600000,0,,,0.001
sarsa,0,216,34,1123.160000,1,33,reward_spike>=190,0.001
sarsa,0,217,19,765.610000,1,18,reward_spike>=190,0.001
sarsa,0,218,40,975.500000,0,,,0.001
sarsa,0,219,40,730.000000,0,,,0.001
sarsa,0,220,40,572.400000,0,,,0.001
sarsa,0,221,40,837.800000,0,,,0.001
sarsa,0,222,40,631.400000,0,,,0.001
sarsa,0,223,28,862.420000,1,27,reward_spike>=190,0.001
sarsa,0,224,40,874.300000,0,,,0.001
sarsa,0,225,19,638.010000,1,18,reward_spike>=190,0.001
sarsa,0,226,20,751.700000,1,19,reward_spike>=190,0.001
sarsa,0,227,36,766.540000,1,35,reward_spike>=190,0.001
sarsa,0,228,27,658.430000,1,26,reward_spike>=190,0.001
sarsa,0,229,40,733.200000,0,,,0.001
sarsa,0,230,40,504.200000,0,,,0.001
sarsa,0,231,38,730.420000,1,37,reward_spike>=190,0.001
sarsa,0,232,40,765.200000,0,,,0.001
sarsa,0,233,24,557.160000,1,23,reward_spike>=190,0.001
sarsa,0,234,16,580.940000,1,15,reward_spike>=190,0.000
sarsa,0,235,40,958.600000,0,,,0.001
sarsa,0,236,39,1052.810000,1,38,reward_spike>=190,0.001
sarsa,0,237,33,1159.370000,1,32,reward_spike>=190,0.001
sarsa,0,238,40,1255.100000,0,,,0.001
sarsa,0,239,40,807.500000,0,,,0.001
sarsa,0,240,39,922.610000,1,38,reward_spike>=190,0.001
sarsa,0,241,40,786.300000,0,,,0.001
sarsa,0,242,23,652.670000,1,22,reward_spike>=190,0.001
sarsa,0,243,39,1225.410000,1,38,reward_spike>=190,0.001
sarsa,0,244,40,1067.100000,0,,,0.001
sarsa,0,245,40,986.100000,0,,,0.001
sarsa,0,246,40,803.700000,0,,,0.001
sarsa,0,247,37,1095.130000,1,36,reward_spike>=190,0.001
sarsa,0,248,28,693.520000,1,27,reward_spike>=190,0.001
sarsa,0,249,21,635.590000,1,20,reward_spike>=190,0.001
sarsa,0,250,35,639.250000,1,34,reward_spike>=190,0.001
sarsa,0,251,40,904.700000,0,,,0.001
sarsa,0,252,33,1089.270000,1,32,reward_spike>=190,0.001
sarsa,0,253,40,922.900000,0,,,0.001
sarsa,0,254,33,731.970000,1,32,reward_spike>=190,0.001
sarsa,0,255,19,709.410000,1,18,reward_spike>=190,0.001
sarsa,0,256,28,671.720000,1,27,reward_spike>=190,0.001
sarsa,0,257,40,818.500000,0,,,0.001
sarsa,0,258,23,710.570000,1,22,reward_spike>=190,0.001
sarsa,0,259,27,598.230000,1,26,reward_spike>=190,0.001
sarsa,0,260,40,1014.400000,0,,,0.001
sarsa,0,261,19,524.510000,1,18,reward_spike>=190,0.001
sarsa,0,262,36,899.640000,1,35,reward_spike>=190,0.001
sarsa,0,263,40,418.800000,0,,,0.001
sarsa,0,264,40,1101.500000,0,,,0.001
sarsa,0,265,20,595.200000,1,19,reward_spike>=190,0.001
sarsa,0,266,40,1093.800000,0,,,0.001
sarsa,0,267,18,750.320000,1,17,reward_spike>=190,0.000
sarsa,0,268,40,1015.200000,0,,,0.001
sarsa,0,269,40,653.900000,0,,,0.001
sarsa,0,270,40,1313.700000,0,,,0.001
sarsa,0,271,32,825.280000,1,31,reward_spike>=190,0.001
sarsa,0,272,40,846.200000,0,,,0.001
sarsa,0,273,40,638.700000,0,,,0.001
sarsa,0,274,35,921.050000,1,34,reward_spike>=190,0.001
sarsa,0,275,23,877.570000,1,22,reward_spike>=190,0.001
sarsa,0,276,25,880.050000,1,24,reward_spike>=190,0.001
sarsa,0,277,40,1338.800000,1,39,reward_spike>=190,0.001
sarsa,0,278,22,767.280000,1,21,reward_spike>=190,0.001
sarsa,0,279,40,769.400000,0,,,0.001
sarsa,0,280,40,692.500000,0,,,0.001
sarsa,0,281,40,614.400000,0,,,0.001
sarsa,0,282,40,1021.100000,0,,,0.001
sarsa,0,283,40,952.500000,0,,,0.001
sarsa,0,284,36,950.440000,1,35,reward_spike>=190,0.001
sarsa,0,285,22,582.780000,1,21,reward_spike>=190,0.001
sarsa,0,286,40,649.600000,0,,,0.001
sarsa,0,287,40,913.200000,0,,,0.001
sarsa,0,288,40,552.800000,0,,,0.001
sarsa,0,289,40,825.600000,0,,,0.001
sarsa,0,290,17,522.530000,1,16,reward_spike>=190,0.000
sarsa,0,291,32,672.880000,1,31,reward_spike>=190,0.001
sarsa,0,292,40,1269.300000,0,,,0.001
sarsa,0,293,28,597.020000,1,27,reward_spike>=190,0.001
sarsa,0,294,40,1032.600000,1,39,reward_spike>=190,0.001
sarsa,0,295,38,861.820000,1,37,reward_spike>=190,0.001
sarsa,0,296,40,577.500000,0,,,0.001
sarsa,0,297,21,637.290000,1,20,reward_spike>=190,0.001
sarsa,0,298,40,650.500000,0,,,0.001
sarsa,0,299,22,485.080000,1,21,reward_spike>=190,0.001
sarsa,0,300,32,996.980000,1,31,reward_spike>=190,0.001
sarsa,0,301,27,696.630000,1,26,reward_spike>=190,0.001
sarsa,0,302,23,807.370000,1,22,reward_spike>=190,0.001
sarsa,0,303,40,716.700000,0,,,0.001
sarsa,0,304,24,916.060000,1,23,reward_spike>=190,0.001
sarsa,0,305,40,717.700000,0,,,0.001
sarsa,0,306,12,521.680000,1,11,reward_spike>=190,0.000
sarsa,0,307,26,978.440000,1,25,reward_spike>=190,0.001
sarsa,0,308,40,1088.500000,0,,,0.001
sarsa,0,309,40,788.700000,0,,,0.001
sarsa,0,310,32,785.180000,1,31,reward_spike>=190,0.001
sarsa,0,311,16,691.540000,1,15,reward_spike>=190,0.000
sarsa,0,312,40,280.700000,0,,,0.001
sarsa,0,313,18,412.920000,1,17,reward_spike>=190,0.001
sarsa,0,314,40,895.700000,0,,,0.001
sarsa,0,315,31,1051.290000,1,30,reward_spike>=190,0.001
sarsa,0,316,40,969.800000,0,,,0.001
sarsa,0,317,40,1013.100000,0,,,0.001
sarsa,0,318,40,620.200000,0,,,0.001
sarsa,0,319,38,1154.320000,1,37,reward_spike>=190,0.001
sarsa,0,320,40,887.100000,0,,,0.001
sarsa,0,321,38,899.520000,1,37,reward_spike>=190,0.001
sarsa,0,322,40,1092.000000,0,,,0.001
sarsa,0,323,26,660.340000,1,25,reward_spike>=190,0.001
sarsa,0,324,40,824.300000,0,,,0.001
sarsa,0,325,39,1153.810000,1,38,reward_spike>=190,0.001
sarsa,0,326,40,904.700000,0,,,0.001
sarsa,0,327,24,521.760000,1,23,reward_spike>=190,0.001
sarsa,0,328,34,1151.960000,1,33,reward_spike>=190,0.001
sarsa,0,329,22,638.980000,1,21,reward_spike>=190,0.001
sarsa,0,330,23,804.670000,1,22,reward_spike>=190,0.001
sarsa,0,331,40,632.300000,0,,,0.001
sarsa,0,332,36,810.440000,1,35,reward_spike>=190,0.001
sarsa,0,333,40,1015.500000,0,,,0.001
sarsa,0,334,21,707.390000,1,20,reward_spike>=190,0.001
sarsa,0,335,26,636.140000,1,25,reward_spike>=190,0.001
sarsa,0,336,40,783.600000,0,,,0.001
sarsa,0,337,40,884.400000,1,39,reward_spike>=190,0.001
sarsa,0,338,39,800.910000,1,38,reward_spike>=190,0.001
sarsa,0,339,40,1007.000000,0,,,0.001
sarsa,0,340,40,583.400000,0,,,0.001
sarsa,0,341,40,1231.500000,0,,,0.001
sarsa,0,342,40,1067.500000,0,,,0.001
sarsa,0,343,40,1058.300000,0,,,0.001
sarsa,0,344,28,934.420000,1,27,reward_spike>=190,0.001
sarsa,0,345,34,1112.860000,1,33,reward_spike>=190,0.001
sarsa,0,346,40,961.000000,0,,,0.001
sarsa,0,347,40,958.400000,0,,,0.001
sarsa,0,348,31,1022.990000,1,30,reward_spike>=190,0.001
sarsa,0,349,28,751.620000,1,27,reward_spike>=190,0.001
sarsa,0,350,40,1296.500000,0,,,0.001
