policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,34,980.860000,1,0.001
sarsa,0,1,,27,596.130000,1,0.001
sarsa,0,2,,40,669.700000,0,0.001
sarsa,0,3,,28,724.120000,1,0.001
sarsa,0,4,,33,783.270000,1,0.001
sarsa,0,5,,39,1005.610000,1,0.001
sarsa,0,6,,40,661.400000,0,0.001
sarsa,0,7,,40,449.000000,0,0.001
sarsa,0,8,,34,864.260000,1,0.001
sarsa,0,9,,30,614.500000,1,0.001
sarsa,0,10,,26,780.440000,1,0.001
sarsa,0,11,,40,917.100000,0,0.001
sarsa,0,12,,35,782.750000,1,0.001
sarsa,0,13,,30,654.300000,1,0.001
sarsa,0,14,,40,711.900000,0,0.001
sarsa,0,15,,26,636.240000,1,0.001
sarsa,0,16,,38,793.620000,1,0.001
sarsa,0,17,,40,781.300000,0,0.001
sarsa,0,18,,18,581.920000,1,0.001
sarsa,0,19,,22,579.380000,1,0.001
sarsa,0,20,,23,766.270000,1,0.001
sarsa,0,21,,27,807.030000,1,0.001
sarsa,0,22,,37,1035.130000,1,0.001
sarsa,0,23,,40,842.700000,0,0.001
sarsa,0,24,,30,807.500000,1,0.001
sarsa,0,25,,40,671.300000,0,0.001
sarsa,0,26,,20,579.200000,1,0.001
sarsa,0,27,,40,388.900000,0,0.001
sarsa,0,28,,25,580.250000,1,0.001
sarsa,0,29,,30,586.700000,1,0.001
sarsa,0,30,,28,973.020000,1,0.001
sarsa,0,31,,39,715.010000,1,0.001
sarsa,0,32,,18,597.420000,1,0.001
sarsa,0,33,,27,922.030000,1,0.001
sarsa,0,34,,30,691.200000,1,0.001
sarsa,0,35,,40,612.500000,0,0.001
sarsa,0,36,,40,849.600000,0,0.001
sarsa,0,37,,40,871.500000,0,0.001
sarsa,0,38,,40,613.300000,0,0.001
sarsa,0,39,,40,453.900000,0,0.001
sarsa,0,40,,22,469.480000,1,0.001
sarsa,0,41,,18,764.720000,1,0.000
sarsa,0,42,,16,690.440000,1,0.000
sarsa,0,43,,40,683.600000,0,0.001
sarsa,0,44,,40,424.000000,0,0.001
sarsa,0,45,,35,1156.450000,1,0.001
sarsa,0,46,,40,418.800000,0,0.001
sarsa,0,47,,40,593.700000,0,0.001
sarsa,0,48,,38,1042.020000,1,0.001
sarsa,0,49,,26,806.140000,1,0.001
sarsa,0,50,,40,592.100000,0,0.001
sarsa,0,51,,40,750.700000,0,0.001
sarsa,0,52,,16,524.040000,1,0.000
sarsa,0,53,,40,871.800000,0,0.001
sarsa,0,54,,38,1052.520000,1,0.001
sarsa,0,55,,35,883.050000,1,0.001
sarsa,0,56,,23,895.970000,1,0.001
sarsa,0,57,,33,677.770000,1,0.001
sarsa,0,58,,21,636.590000,1,0.001
sarsa,0,59,,40,778.800000,0,0.001
sarsa,0,60,,40,835.500000,0,0.001
sarsa,0,61,,40,509.300000,0,0.001
sarsa,0,62,,40,760.300000,0,0.001
sarsa,0,63,,39,865.410000,1,0.001
sarsa,0,64,,27,655.630000,1,0.001
sarsa,0,65,,32,840.780000,1,0.001
sarsa,0,66,,40,861.700000,0,0.001
sarsa,0,67,,40,789.500000,0,0.001
sarsa,0,68,,22,747.080000,1,0.001
sarsa,0,69,,21,780.890000,1,0.001
sarsa,0,70,,37,885.530000,1,0.001
sarsa,0,71,,37,839.030000,1,0.001
sarsa,0,72,,40,753.400000,0,0.001
sarsa,0,73,,40,771.900000,0,0.001
sarsa,0,74,,31,634.190000,1,0.001
sarsa,0,75,,40,963.000000,0,0.001
sarsa,0,76,,40,787.200000,0,0.001
sarsa,0,77,,40,781.700000,0,0.001
sarsa,0,78,,26,471.740000,1,0.001
sarsa,0,79,,37,1013.430000,1,0.001
sarsa,0,80,,40,346.000000,0,0.001
sarsa,0,81,,40,894.600000,1,0.001
sarsa,0,82,,31,1188.690000,1,0.001
sarsa,0,83,,40,872.500000,0,0.001
sarsa,0,84,,22,932.780000,1,0.001
sarsa,0,85,,37,718.430000,1,0.001
sarsa,0,86,,40,718.800000,0,0.001
sarsa,0,87,,34,822.860000,1,0.001
sarsa,0,88,,29,977.610000,1,0.001
sarsa,0,89,,40,794.600000,0,0.001
sarsa,0,90,,17,694.130000,1,0.000
sarsa,0,91,,40,848.600000,0,0.001
sarsa,0,92,,40,710.600000,0,0.001
sarsa,0,93,,28,770.220000,1,0.001
sarsa,0,94,,29,710.510000,1,0.001
sarsa,0,95,,28,868.120000,1,0.001
sarsa,0,96,,23,539.670000,1,0.001
sarsa,0,97,,21,696.190000,1,0.001
sarsa,0,98,,21,637.990000,1,0.001
sarsa,0,99,,34,1009.960000,1,0.001
sarsa,0,100,,40,654.700000,0,0.001
sarsa,0,101,,40,525.400000,0,0.001
sarsa,0,102,,24,767.660000,1,0.001
sarsa,0,103,,20,747.900000,1,0.001
sarsa,0,104,,38,1220.320000,1,0.001
sarsa,0,105,,28,934.220000,1,0.001
sarsa,0,106,,40,759.700000,0,0.001
sarsa,0,107,,40,952.800000,0,0.001
sarsa,0,108,,37,656.630000,1,0.001
sarsa,0,109,,17,748.030000,1,0.001
sarsa,0,110,,24,693.260000,1,0.001
