policy,seed,episode,steps,reward,success,success_step,success_reason,time_s
sarsa,0,0,30,810.500000,0,,,0.001
sarsa,0,1,40,508.000000,0,,,0.001
sarsa,0,2,40,576.300000,0,,,0.001
sarsa,0,3,40,669.600000,0,,,0.001
sarsa,0,4,40,578.900000,0,,,0.001
sarsa,0,5,25,597.150000,0,,,0.001
sarsa,0,6,25,783.350000,0,,,0.001
sarsa,0,7,22,525.780000,0,,,0.001
sarsa,0,8,40,425.100000,0,,,0.001
sarsa,0,9,28,752.920000,0,,,0.001
sarsa,0,10,37,717.730000,0,,,0.001
sarsa,0,11,40,909.000000,0,,,0.001
sarsa,0,12,40,391.300000,0,,,0.001
sarsa,0,13,40,582.000000,0,,,0.001
sarsa,0,14,17,597.130000,0,,,0.000
sarsa,0,15,31,754.490000,0,,,0.001
sarsa,0,16,18,581.020000,0,,,0.001
sarsa,0,17,35,694.550000,0,,,0.001
sarsa,0,18,40,623.900000,0,,,0.001
sarsa,0,19,28,468.520000,0,,,0.001
sarsa,0,20,40,804.300000,0,,,0.001
sarsa,0,21,38,732.820000,0,,,0.001
sarsa,0,22,40,206.700000,0,,,0.001
sarsa,0,23,21,862.190000,0,,,0.001
sarsa,0,24,40,522.600000,0,,,0.001
sarsa,0,25,17,466.330000,0,,,0.000
sarsa,0,26,34,957.460000,0,,,0.001
sarsa,0,27,40,485.400000,0,,,0.001
sarsa,0,28,40,494.300000,0,,,0.001
sarsa,0,29,31,995.690000,0,,,0.001
sarsa,0,30,40,618.100000,0,,,0.001
sarsa,0,31,40,660.100000,0,,,0.001
sarsa,0,32,40,505.000000,0,,,0.001
sarsa,0,33,38,829.720000,0,,,0.001
sarsa,0,34,26,824.940000,0,,,0.001
sarsa,0,35,40,708.400000,0,,,0.002
sarsa,0,36,40,663.100000,0,,,0.001
sarsa,0,37,23,595.570000,0,,,0.001
sarsa,0,38,38,777.020000,0,,,0.001
sarsa,0,39,40,734.800000,0,,,0.001
sarsa,0,40,25,522.650000,0,,,0.001
sarsa,0,41,21,935.390000,0,,,0.001
sarsa,0,42,40,905.100000,0,,,0.001
sarsa,0,43,40,546.200000,0,,,0.001
sarsa,0,44,40,844.100000,0,,,0.001
sarsa,0,45,40,961.100000,0,,,0.001
sarsa,0,46,40,463.800000,0,,,0.001
sarsa,0,47,30,713.200000,0,,,0.002
sarsa,0,48,40,677.300000,0,,,0.001
sarsa,0,49,39,885.910000,0,,,0.002
sarsa,0,50,40,772.700000,0,,,0.001
sarsa,0,51,40,855.500000,0,,,0.001
sarsa,0,52,21,525.090000,0,,,0.001
sarsa,0,53,19,804.210000,0,,,0.001
sarsa,0,54,40,1127.600000,0,,,0.001
sarsa,0,55,34,755.060000,0,,,0.001
sarsa,0,56,40,1111.700000,0,,,0.001
sarsa,0,57,28,937.720000,0,,,0.001
sarsa,0,58,13,524.170000,0,,,0.000
sarsa,0,59,40,584.100000,0,,,0.001
sarsa,0,60,25,712.450000,0,,,0.001
sarsa,0,61,40,525.300000,0,,,0.002
sarsa,0,62,26,1087.740000,0,,,0.001
sarsa,0,63,28,769.820000,0,,,0.001
sarsa,0,64,34,714.960000,0,,,0.001
sarsa,0,65,40,651.100000,0,,,0.001
sarsa,0,66,35,846.850000,0,,,0.001
sarsa,0,67,40,819.500000,0,,,0.001
sarsa,0,68,40,583.500000,0,,,0.001
sarsa,0,69,19,859.410000,0,,,0.000
sarsa,0,70,31,820.590000,0,,,0.001
sarsa,0,71,26,654.940000,0,,,0.001
sarsa,0,72,21,466.890000,0,,,0.001
sarsa,0,73,40,676.900000,0,,,0.001
sarsa,0,74,40,790.600000,0,,,0.001
sarsa,0,75,18,637.620000,0,,,0.001
sarsa,0,76,14,691.260000,0,,,0.000
sarsa,0,77,40,636.300000,0,,,0.001
sarsa,0,78,40,821.900000,0,,,0.001
sarsa,0,79,37,547.130000,0,,,0.001
sarsa,0,80,40,456.800000,0,,,0.001
sarsa,0,81,36,714.140000,0,,,0.001
sarsa,0,82,18,467.020000,0,,,0.001
sarsa,0,83,27,771.830000,0,,,0.001
sarsa,0,84,13,578.270000,0,,,0.000
sarsa,0,85,40,615.600000,0,,,0.001
sarsa,0,86,20,746.800000,0,,,0.001
sarsa,0,87,27,581.430000,0,,,0.001
sarsa,0,88,17,805.930000,0,,,0.001
sarsa,0,89,36,1054.440000,0,,,0.001
sarsa,0,90,40,1008.300000,0,,,0.001
sarsa,0,91,40,607.400000,0,,,0.001
sarsa,0,92,40,850.100000,0,,,0.001
sarsa,0,93,28,710.320000,0,,,0.001
sarsa,0,94,34,999.960000,0,,,0.001
sarsa,0,95,21,528.290000,0,,,0.001
sarsa,0,96,31,994.990000,0,,,0.001
sarsa,0,97,30,699.300000,0,,,0.001
sarsa,0,98,35,784.550000,0,,,0.001
sarsa,0,99,37,997.530000,0,,,0.001
sarsa,0,100,40,974.400000,0,,,0.001
sarsa,0,101,27,674.130000,0,,,0.001
sarsa,0,102,40,620.100000,0,,,0.001
sarsa,0,103,20,580.600000,0,,,0.001
sarsa,0,104,24,822.560000,0,,,0.001
sarsa,0,105,26,865.340000,0,,,0.001
sarsa,0,106,20,651.100000,0,,,0.001
sarsa,0,107,32,1105.180000,0,,,0.001
sarsa,0,108,37,733.230000,0,,,0.001
sarsa,0,109,40,666.300000,0,,,0.001
sarsa,0,110,40,989.700000,0,,,0.001
sarsa,0,111,22,614.980000,0,,,0.001
sarsa,0,112,40,385.600000,0,,,0.001
sarsa,0,113,39,823.010000,0,,,0.001
sarsa,0,114,11,521.290000,0,,,0.000
sarsa,0,115,28,863.820000,0,,,0.001
sarsa,0,116,23,637.070000,0,,,0.001
sarsa,0,117,29,1040.210000,0,,,0.001
sarsa,0,118,26,978.740000,0,,,0.001
sarsa,0,119,12,689.680000,0,,,0.000
sarsa,0,120,19,638.810000,0,,,0.000
sarsa,0,121,40,1145.300000,0,,,0.001
sarsa,0,122,22,638.480000,0,,,0.001
sarsa,0,123,40,844.400000,0,,,0.001
sarsa,0,124,36,1011.940000,0,,,0.001
sarsa,0,125,40,940.800000,0,,,0.001
sarsa,0,126,27,752.330000,0,,,0.001
sarsa,0,127,40,601.600000,0,,,0.002
sarsa,0,128,30,806.600000,0,,,0.002
sarsa,0,129,40,834.800000,0,,,0.001
sarsa,0,130,29,752.710000,0,,,0.001
sarsa,0,131,21,638.790000,0,,,0.001
sarsa,0,132,40,808.200000,0,,,0.001
sarsa,0,133,22,823.080000,0,,,0.001
sarsa,0,134,40,741.200000,0,,,0.001
sarsa,0,135,23,582.170000,0,,,0.001
sarsa,0,136,40,711.600000,0,,,0.001
sarsa,0,137,40,874.800000,0,,,0.001
sarsa,0,138,38,939.120000,0,,,0.001
sarsa,0,139,21,634.290000,0,,,0.001
sarsa,0,140,31,867.190000,0,,,0.001
sarsa,0,141,30,826.200000,0,,,0.001
sarsa,0,142,34,845.660000,0,,,0.001
sarsa,0,143,34,602.860000,0,,,0.001
sarsa,0,144,36,569.240000,0,,,0.001
sarsa,0,145,34,588.760000,0,,,0.001
sarsa,0,146,20,634.900000,0,,,0.001
sarsa,0,147,23,820.170000,0,,,0.001
sarsa,0,148,40,771.900000,0,,,0.001
