policy,seed,episode,phase,steps,reward,success,time_s
sarsa,0,0,,40,622.700000,0,0.001
sarsa,0,1,,36,665.240000,1,0.001
sarsa,0,2,,40,455.400000,0,0.001
sarsa,0,3,,26,725.640000,1,0.001
sarsa,0,4,,40,656.500000,0,0.001
sarsa,0,5,,25,748.350000,1,0.001
sarsa,0,6,,30,768.000000,1,0.001
sarsa,0,7,,40,477.200000,0,0.001
sarsa,0,8,,40,846.800000,0,0.001
sarsa,0,9,,40,819.500000,0,0.001
sarsa,0,10,,39,889.910000,1,0.001
sarsa,0,11,,23,638.670000,1,0.001
sarsa,0,12,,40,621.700000,0,0.001
sarsa,0,13,,40,645.000000,0,0.001
sarsa,0,14,,23,594.770000,1,0.001
sarsa,0,15,,30,979.000000,1,0.001
sarsa,0,16,,25,805.850000,1,0.001
sarsa,0,17,,39,924.610000,1,0.001
sarsa,0,18,,24,779.960000,1,0.001
sarsa,0,19,,40,448.100000,0,0.001
sarsa,0,20,,28,922.820000,1,0.001
sarsa,0,21,,36,561.740000,1,0.001
sarsa,0,22,,40,770.300000,0,0.001
sarsa,0,23,,40,860.300000,0,0.001
sarsa,0,24,,37,954.230000,1,0.001
sarsa,0,25,,34,772.960000,1,0.001
sarsa,0,26,,40,671.000000,0,0.001
sarsa,0,27,,40,449.800000,0,0.001
sarsa,0,28,,40,438.900000,0,0.001
sarsa,0,29,,40,547.300000,0,0.001
sarsa,0,30,,40,408.500000,0,0.001
sarsa,0,31,,32,953.080000,1,0.001
sarsa,0,32,,40,736.400000,0,0.001
sarsa,0,33,,30,822.400000,1,0.001
sarsa,0,34,,40,624.100000,0,0.001
sarsa,0,35,,40,676.000000,0,0.001
sarsa,0,36,,40,520.200000,0,0.001
sarsa,0,37,,38,830.620000,1,0.001
sarsa,0,38,,18,693.820000,1,0.000
sarsa,0,39,,15,521.250000,1,0.000
sarsa,0,40,,37,814.030000,1,0.001
sarsa,0,41,,18,710.420000,1,0.000
sarsa,0,42,,16,763.840000,1,0.000
sarsa,0,43,,40,580.600000,0,0.001
sarsa,0,44,,40,488.300000,0,0.001
sarsa,0,45,,34,729.060000,1,0.001
sarsa,0,46,,30,937.500000,1,0.001
sarsa,0,47,,26,977.440000,1,0.001
sarsa,0,48,,40,539.700000,0,0.001
sarsa,0,49,,30,710.200000,1,0.001
sarsa,0,50,,40,859.900000,0,0.001
sarsa,0,51,,31,957.090000,1,0.001
sarsa,0,52,,40,889.600000,0,0.001
sarsa,0,53,,26,697.340000,1,0.001
sarsa,0,54,,40,865.300000,0,0.001
sarsa,0,55,,29,781.910000,1,0.001
sarsa,0,56,,34,968.560000,1,0.002
sarsa,0,57,,40,808.800000,0,0.001
sarsa,0,58,,37,1167.530000,1,0.001
sarsa,0,59,,13,410.970000,1,0.000
sarsa,0,60,,40,690.400000,0,0.001
sarsa,0,61,,19,805.010000,1,0.000
sarsa,0,62,,40,554.300000,0,0.001
sarsa,0,63,,31,908.190000,1,0.001
sarsa,0,64,,30,1162.600000,1,0.001
sarsa,0,65,,17,595.530000,1,0.000
sarsa,0,66,,32,1038.180000,1,0.001
sarsa,0,67,,40,819.300000,0,0.001
sarsa,0,68,,30,977.900000,1,0.001
sarsa,0,69,,34,716.460000,1,0.001
sarsa,0,70,,23,748.370000,1,0.001
sarsa,0,71,,34,705.060000,1,0.001
sarsa,0,72,,40,651.100000,0,0.001
sarsa,0,73,,36,997.740000,1,0.001
sarsa,0,74,,32,939.480000,1,0.001
sarsa,0,75,,40,870.100000,0,0.001
sarsa,0,76,,22,581.280000,1,0.001
sarsa,0,77,,34,825.760000,1,0.001
sarsa,0,78,,40,690.700000,0,0.001
sarsa,0,79,,18,579.920000,1,0.000
