seed,algo,episode,steps_to_mastery,total_reward
0,Random,0,24,35.6
0,Random,1,18,41.2
0,Random,2,23,106.7
0,Random,3,10,46.0
0,Random,4,13,90.7
0,Random,5,18,41.2
0,Random,6,8,41.2
0,Random,7,13,47.7
0,Random,8,12,39.8
0,Random,9,5,26.5
0,Random,10,19,37.1
0,Random,11,23,53.7
0,Random,12,11,63.9
0,Random,13,12,63.8
0,Random,14,6,26.4
0,Random,15,26,52.4
0,Random,16,25,9.5
0,Random,17,16,139.4
0,Random,18,4,42.6
0,Random,19,7,55.3
0,Random,20,12,23.8
0,Random,21,7,67.3
0,Random,22,12,80.8
0,Random,23,8,44.2
0,Random,24,23,176.7
0,Random,25,40,173.0
0,Random,26,12,34.8
0,Random,27,10,25.0
0,Random,28,8,65.2
0,Random,29,22,39.8
0,Random,30,12,70.8
0,Random,31,9,70.1
0,Random,32,20,81.0
0,Random,33,22,65.8
0,Random,34,4,37.6
0,Random,35,16,103.4
0,Random,36,7,38.3
0,Random,37,11,55.9
0,Random,38,40,212.0
0,Random,39,12,68.8
0,Random,40,40,-3.0
0,Random,41,12,99.8
0,Random,42,8,77.2
0,Random,43,26,163.4
0,Random,44,14,121.6
0,Random,45,21,160.9
0,Random,46,7,31.3
0,Random,47,23,70.7
0,Random,48,25,38.5
0,Random,49,9,39.1
0,SARSA,0,18,22.2
0,SARSA,1,8,36.2
0,SARSA,2,7,38.3
0,SARSA,3,14,88.6
0,SARSA,4,25,89.5
0,SARSA,5,13,59.7
0,SARSA,6,22,135.8
0,SARSA,7,8,29.2
0,SARSA,8,10,54.0
0,SARSA,9,4,30.6
0,SARSA,10,10,61.0
0,SARSA,11,15,122.5
0,SARSA,12,5,28.5
0,SARSA,13,11,46.9
0,SARSA,14,7,24.3
0,SARSA,15,6,38.4
0,SARSA,16,15,67.5
0,SARSA,17,17,22.3
0,SARSA,18,17,70.3
0,SARSA,19,13,71.7
0,SARSA,20,40,152.0
0,SARSA,21,16,31.4
0,SARSA,22,11,57.9
0,SARSA,23,14,30.6
0,SARSA,24,19,53.1
0,SARSA,25,8,52.2
0,SARSA,26,10,72.0
0,SARSA,27,28,41.2
0,SARSA,28,9,60.1
0,SARSA,29,28,120.2
0,SARSA,30,40,233.0
0,SARSA,31,5,38.5
0,SARSA,32,40,174.0
0,SARSA,33,39,89.1
0,SARSA,34,40,173.0
0,SARSA,35,12,94.8
0,SARSA,36,40,130.0
0,SARSA,37,40,158.0
0,SARSA,38,40,149.0
0,SARSA,39,40,168.0
0,SARSA,40,7,38.3
0,SARSA,41,40,137.0
0,SARSA,42,40,163.0
0,SARSA,43,40,205.0
0,SARSA,44,14,58.6
0,SARSA,45,40,227.0
0,SARSA,46,22,88.8
0,SARSA,47,40,153.0
0,SARSA,48,40,147.0
0,SARSA,49,11,67.9
1,Random,0,14,105.6
1,Random,1,27,10.3
1,Random,2,35,90.5
1,Random,3,4,37.6
1,Random,4,6,50.4
1,Random,5,40,211.0
1,Random,6,20,20.0
1,Random,7,8,43.2
1,Random,8,20,146.0
1,Random,9,8,22.2
1,Random,10,7,31.3
1,Random,11,33,64.7
1,Random,12,13,37.7
1,Random,13,40,251.0
1,Random,14,7,53.3
1,Random,15,5,35.5
1,Random,16,9,32.1
1,Random,17,12,46.8
1,Random,18,10,61.0
1,Random,19,18,120.2
1,Random,20,9,58.1
1,Random,21,10,78.0
1,Random,22,4,28.6
1,Random,23,5,35.5
1,Random,24,8,53.2
1,Random,25,21,106.9
1,Random,26,6,45.4
1,Random,27,5,47.5
1,Random,28,12,63.8
1,Random,29,9,51.1
1,Random,30,17,95.3
1,Random,31,10,49.0
1,Random,32,28,120.2
1,Random,33,9,30.1
1,Random,34,11,96.9
1,Random,35,12,32.8
1,Random,36,8,41.2
1,Random,37,8,29.2
1,Random,38,8,41.2
1,Random,39,6,33.4
1,Random,40,16,45.4
1,Random,41,12,39.8
1,Random,42,6,50.4
1,Random,43,7,36.3
1,Random,44,9,75.1
1,Random,45,30,80.0
1,Random,46,5,28.5
1,Random,47,11,108.9
1,Random,48,24,-2.4
1,Random,49,27,21.3
1,SARSA,0,40,66.0
1,SARSA,1,13,60.7
1,SARSA,2,40,151.0
1,SARSA,3,40,187.0
1,SARSA,4,14,85.6
1,SARSA,5,18,102.2
1,SARSA,6,40,123.0
1,SARSA,7,16,93.4
1,SARSA,8,40,80.0
1,SARSA,9,7,43.3
1,SARSA,10,11,22.9
1,SARSA,11,40,194.0
1,SARSA,12,35,150.5
1,SARSA,13,29,162.1
1,SARSA,14,40,140.0
1,SARSA,15,14,51.6
1,SARSA,16,24,146.6
1,SARSA,17,9,34.1
1,SARSA,18,13,111.7
1,SARSA,19,40,175.0
1,SARSA,20,36,153.4
1,SARSA,21,40,190.0
1,SARSA,22,11,57.9
1,SARSA,23,40,195.0
1,SARSA,24,34,184.6
1,SARSA,25,39,145.1
1,SARSA,26,8,48.2
1,SARSA,27,40,151.0
1,SARSA,28,40,182.0
1,SARSA,29,11,55.9
1,SARSA,30,36,111.4
1,SARSA,31,12,60.8
1,SARSA,32,40,131.0
