tag,seed,algo,episode,is_final,steps_to_mastery,total_reward,done_reason,running_mean_steps,running_mean_reward
a,0,Random,0,0,24,58.4,mastery,24.0,58.4
a,0,Random,1,0,18,64.3,mastery,21.0,61.35
a,0,Random,2,0,23,131.55,mastery,21.667,84.75
a,0,Random,3,0,10,69.5,mastery,18.75,80.937
a,0,Random,4,0,13,114.05,mastery,17.6,87.56
a,0,Random,5,0,18,64.3,mastery,17.667,83.683
a,0,Random,6,0,8,64.8,mastery,16.286,80.986
a,0,Random,7,0,13,71.05,mastery,15.875,79.744
a,0,Random,8,0,12,63.2,mastery,15.444,77.906
a,0,Random,9,0,5,49.25,mastery,14.4,75.04
a,0,Random,10,0,19,60.15,mastery,14.818,73.686
a,0,Random,11,0,23,78.55,mastery,15.5,74.092
a,0,Random,12,0,11,87.35,mastery,15.154,75.112
a,0,Random,13,0,12,87.2,mastery,14.929,75.975
a,0,Random,14,0,6,50.1,mastery,14.333,74.25
a,0,Random,15,0,26,77.1,mastery,15.062,74.428
a,0,Random,16,0,25,33.25,mastery,15.647,72.006
a,0,Random,17,0,16,163.6,mastery,15.667,77.094
a,0,Random,18,0,4,66.4,mastery,15.053,76.532
a,0,Random,19,0,7,78.95,mastery,14.65,76.653
a,0,Random,20,0,12,46.2,mastery,14.524,75.202
a,0,Random,21,0,7,90.95,mastery,14.182,75.918
a,0,Random,22,0,12,104.2,mastery,14.087,77.148
a,0,Random,23,0,8,66.8,mastery,13.833,76.717
a,0,Random,24,0,23,202.55,mastery,14.2,81.75
a,0,Random,25,0,35,144.75,timeout,15.0,84.173
a,0,Random,26,0,6,57.1,mastery,14.667,83.17
a,0,Random,27,0,13,68.05,mastery,14.607,82.63
a,0,Random,28,0,23,88.55,mastery,14.897,82.834
a,0,Random,29,0,12,70.2,mastery,14.8,82.413
a,0,Random,30,0,5,49.25,mastery,14.484,81.344
a,0,Random,31,0,35,127.75,timeout,15.125,82.794
a,0,Random,32,0,16,93.6,mastery,15.152,83.121
a,0,Random,33,0,13,133.05,mastery,15.088,84.59
a,0,Random,34,0,7,78.95,mastery,14.857,84.429
a,0,Random,35,0,7,73.95,mastery,14.639,84.137
a,0,Random,36,0,7,54.95,mastery,14.432,83.349
a,0,Random,37,0,35,170.75,timeout,14.974,85.649
a,0,Random,38,0,34,87.9,mastery,15.462,85.706
a,0,Random,39,0,7,61.95,mastery,15.25,85.112
a,0,Random,40,0,12,56.2,mastery,15.171,84.407
a,0,Random,41,0,7,71.95,mastery,14.976,84.111
a,0,Random,42,0,12,99.2,mastery,14.907,84.462
a,0,Random,43,0,17,132.45,mastery,14.955,85.552
a,0,Random,44,0,12,49.2,mastery,14.889,84.744
a,0,Random,45,0,7,68.95,mastery,14.717,84.401
a,0,Random,46,0,7,66.95,mastery,14.553,84.03
a,0,Random,47,0,17,131.45,mastery,14.604,85.018
a,0,Random,48,0,35,6.75,timeout,15.02,83.42
a,0,Random,49,1,35,98.75,timeout,15.42,83.727
a,0,SARSA,0,0,18,45.3,mastery,18.0,45.3
a,0,SARSA,1,0,7,39.95,mastery,12.5,42.625
a,0,SARSA,2,0,5,59.25,mastery,10.0,48.167
a,0,SARSA,3,0,17,134.45,mastery,11.75,69.737
a,0,SARSA,4,0,35,9.75,timeout,16.4,57.74
a,0,SARSA,5,0,7,54.95,mastery,14.833,57.275
a,0,SARSA,6,0,10,67.5,mastery,14.143,58.736
a,0,SARSA,7,0,22,78.7,mastery,15.125,61.231
a,0,SARSA,8,0,6,57.1,mastery,14.111,60.772
a,0,SARSA,9,0,6,62.1,mastery,13.3,60.905
a,0,SARSA,10,0,10,83.5,mastery,13.0,62.959
a,0,SARSA,11,0,5,59.25,mastery,12.333,62.65
a,0,SARSA,12,0,19,86.15,mastery,12.846,64.458
a,0,SARSA,13,0,6,61.1,mastery,12.357,64.218
a,0,SARSA,14,0,14,66.9,mastery,12.467,64.397
a,0,SARSA,15,0,5,59.25,mastery,12.0,64.075
a,0,SARSA,16,0,7,54.95,mastery,11.706,63.538
a,0,SARSA,17,0,18,48.3,mastery,12.056,62.692
a,0,SARSA,18,0,19,34.15,mastery,12.421,61.189
a,0,SARSA,19,0,8,66.8,mastery,12.2,61.47
a,0,SARSA,20,0,8,52.8,mastery,12.0,61.057
a,0,SARSA,21,0,12,61.2,mastery,12.0,61.064
a,0,SARSA,22,0,35,38.75,timeout,13.0,60.093
a,0,SARSA,23,0,25,76.25,mastery,13.5,60.767
a,0,SARSA,24,0,9,50.65,mastery,13.32,60.362
a,0,SARSA,25,0,5,59.25,mastery,13.0,60.319
a,0,SARSA,26,0,11,46.35,mastery,12.926,59.802
a,0,SARSA,27,0,6,64.1,mastery,12.679,59.955
a,0,SARSA,28,0,5,61.25,mastery,12.414,60.0
a,0,SARSA,29,0,9,57.65,mastery,12.3,59.922
a,0,SARSA,30,0,27,100.95,mastery,12.774,61.245
a,0,SARSA,31,0,12,58.2,mastery,12.75,61.15
a,0,SARSA,32,0,5,59.25,mastery,12.515,61.092
