episode,reward,steps,mode,seed
0,1125.760000000001,44,fixed,7
1,926.32,38,fixed,7
2,948.7800000000004,42,fixed,7
3,528.7899999999997,21,fixed,7
4,867.0100000000004,39,fixed,7
5,783.9800000000002,32,fixed,7
6,659.7299999999997,27,fixed,7
7,1047.87,43,fixed,7
8,1295.4700000000007,43,fixed,7
9,693.45,35,fixed,7
10,672.0699999999999,33,fixed,7
11,821.7700000000002,23,fixed,7
12,768.6399999999998,26,fixed,7
13,1083.400000000001,80,fixed,7
14,1112.8500000000004,55,fixed,7
15,672.0299999999999,37,fixed,7
16,693.0500000000001,25,fixed,7
17,811.1599999999996,44,fixed,7
18,724.8900000000001,31,fixed,7
19,868.6200000000006,48,fixed,7
20,826.8500000000001,35,fixed,7
21,471.68999999999994,31,fixed,7
22,775.2599999999998,34,fixed,7
23,482.44,26,fixed,7
24,708.3900000000001,31,fixed,7
25,755.1899999999998,31,fixed,7
26,1088.0300000000009,47,fixed,7
27,765.2300000000002,27,fixed,7
28,1070.0400000000009,46,fixed,7
29,526.5299999999999,17,fixed,7
30,1053.8700000000003,33,fixed,7
31,1387.099999999999,70,fixed,7
32,1148.7700000000004,53,fixed,7
33,653.0600000000001,24,fixed,7
34,954.2800000000004,52,fixed,7
35,724.6400000000001,26,fixed,7
36,1182.7100000000005,39,fixed,7
37,1261.730000000001,57,fixed,7
38,691.16,14,fixed,7
39,1794.6599999999976,74,fixed,7
40,825.2400000000002,36,fixed,7
41,807.4,30,fixed,7
42,923.3700000000003,43,fixed,7
43,861.8400000000001,26,fixed,7
44,976.5000000000005,50,fixed,7
45,1244.3000000000006,60,fixed,7
46,869.3599999999998,34,fixed,7
47,1008.8700000000002,63,fixed,7
48,885.3600000000002,34,fixed,7
49,835.6700000000003,33,fixed,7
50,787.4100000000004,39,fixed,7
51,952.1600000000004,34,fixed,7
52,941.0700000000004,33,fixed,7
53,673.2600000000001,44,fixed,7
54,817.79,41,fixed,7
55,1483.6799999999994,72,fixed,7
56,860.9,20,fixed,7
57,749.8100000000003,19,fixed,7
58,1044.37,43,fixed,7
59,652.53,17,fixed,7
60,467.8399999999999,16,fixed,7
61,1148.2300000000012,67,fixed,7
62,1210.940000000001,46,fixed,7
63,444.9699999999999,23,fixed,7
64,1282.19,61,fixed,7
65,1206.3199999999997,48,fixed,7
66,849.4999999999998,40,fixed,7
67,1060.9900000000002,41,fixed,7
68,1183.0400000000009,56,fixed,7
69,1639.4999999999984,100,fixed,7
70,482.5899999999999,21,fixed,7
71,752.4900000000002,21,fixed,7
72,1346.8800000000006,52,fixed,7
