episode,reward,steps,acc,mode,seed
1,122.0000000000001,40.0,0.025,full,4
2,120.60000000000002,24.0,0.08333333333333333,full,4
3,99.00000000000004,40.0,0.025,full,4
4,153.0000000000001,40.0,0.05,full,4
5,136.00000000000003,30.0,0.06666666666666667,full,4
6,57.6,4.0,0.5,full,4
7,194.1000000000001,39.0,0.07692307692307693,full,4
8,169.0000000000001,40.0,0.025,full,4
9,58.4,6.0,0.5,full,4
10,174.00000000000014,40.0,0.025,full,4
11,155.0000000000001,40.0,0.0,full,4
12,155.0000000000001,40.0,0.0,full,4
13,169.0000000000001,40.0,0.0,full,4
14,100.29999999999998,17.0,0.11764705882352941,full,4
15,162.0000000000001,40.0,0.0,full,4
16,77.89999999999999,11.0,0.18181818181818182,full,4
17,81.39999999999998,16.0,0.125,full,4
18,176.00000000000014,40.0,0.0,full,4
19,139.50000000000006,25.0,0.12,full,4
20,165.00000000000014,40.0,0.075,full,4
21,138.0000000000001,40.0,0.0,full,4
22,170.90000000000006,31.0,0.0967741935483871,full,4
23,172.00000000000014,40.0,0.05,full,4
24,169.0000000000001,40.0,0.0,full,4
25,109.5,15.0,0.2,full,4
26,134.0000000000001,40.0,0.0,full,4
27,181.00000000000014,40.0,0.05,full,4
28,169.0000000000001,40.0,0.025,full,4
29,148.0000000000001,40.0,0.0,full,4
30,148.0000000000001,40.0,0.0,full,4
31,139.0000000000001,40.0,0.025,full,4
32,118.0000000000001,40.0,0.025,full,4
33,111.5,15.0,0.13333333333333333,full,4
34,113.00000000000007,40.0,0.05,full,4
35,107.30000000000001,17.0,0.11764705882352941,full,4
36,120.00000000000011,40.0,0.0,full,4
37,54.1,9.0,0.2222222222222222,full,4
38,134.0000000000001,40.0,0.0,full,4
39,169.0000000000001,40.0,0.0,full,4
40,88.39999999999998,16.0,0.125,full,4
41,164.00000000000009,30.0,0.06666666666666667,full,4
42,169.00000000000014,40.0,0.0,full,4
43,106.6,14.0,0.14285714285714285,full,4
44,72.3,7.0,0.2857142857142857,full,4
45,87.09999999999998,19.0,0.15789473684210525,full,4
46,136.0000000000001,40.0,0.025,full,4
47,130.00000000000009,40.0,0.1,full,4
48,169.00000000000014,40.0,0.0,full,4
49,155.0000000000001,40.0,0.0,full,4
50,109.5,15.0,0.2,full,4
51,157.00000000000014,40.0,0.025,full,4
52,164.0000000000001,40.0,0.025,full,4
53,170.0000000000001,40.0,0.075,full,4
54,241.20000000000013,38.0,0.13157894736842105,full,4
55,55.5,5.0,0.4,full,4
56,171.10000000000005,29.0,0.13793103448275862,full,4
57,155.0000000000001,40.0,0.025,full,4
58,141.00000000000014,40.0,0.025,full,4
59,153.0000000000001,40.0,0.025,full,4
60,176.00000000000014,40.0,0.025,full,4
61,153.0000000000001,40.0,0.025,full,4
62,183.00000000000009,30.0,0.1,full,4
63,169.0000000000001,40.0,0.0,full,4
64,155.0000000000001,40.0,0.0,full,4
65,86.39999999999998,16.0,0.1875,full,4
66,189.2000000000001,38.0,0.05263157894736842,full,4
67,161.0000000000001,40.0,0.025,full,4
68,155.0000000000001,40.0,0.0,full,4
69,155.0000000000001,40.0,0.0,full,4
70,162.0000000000001,40.0,0.0,full,4
71,70.19999999999999,8.0,0.25,full,4
