episode,reward,steps,mode,seed
0,1125.760000000001,44,random,3
1,926.32,38,random,3
2,948.7800000000004,42,random,3
3,528.7899999999997,21,random,3
4,867.0100000000004,39,random,3
5,783.9800000000002,32,random,3
6,659.7299999999997,27,random,3
7,1047.87,43,random,3
8,1295.4700000000007,43,random,3
9,693.45,35,random,3
10,672.0699999999999,33,random,3
11,821.7700000000002,23,random,3
12,768.6399999999998,26,random,3
13,1083.400000000001,80,random,3
14,1112.8500000000004,55,random,3
15,672.0299999999999,37,random,3
16,693.0500000000001,25,random,3
17,811.1599999999996,44,random,3
18,724.8900000000001,31,random,3
19,868.6200000000006,48,random,3
20,826.8500000000001,35,random,3
21,471.68999999999994,31,random,3
22,775.2599999999998,34,random,3
23,482.44,26,random,3
24,708.3900000000001,31,random,3
25,755.1899999999998,31,random,3
26,1088.0300000000009,47,random,3
27,765.2300000000002,27,random,3
28,1070.0400000000009,46,random,3
29,526.5299999999999,17,random,3
30,1053.8700000000003,33,random,3
31,1387.099999999999,70,random,3
32,1148.7700000000004,53,random,3
33,653.0600000000001,24,random,3
34,954.2800000000004,52,random,3
35,724.6400000000001,26,random,3
36,1182.7100000000005,39,random,3
37,1261.730000000001,57,random,3
38,691.16,14,random,3
39,1794.6599999999976,74,random,3
40,825.2400000000002,36,random,3
41,807.4,30,random,3
42,923.3700000000003,43,random,3
43,861.8400000000001,26,random,3
44,976.5000000000005,50,random,3
45,1244.3000000000006,60,random,3
46,869.3599999999998,34,random,3
47,1008.8700000000002,63,random,3
48,885.3600000000002,34,random,3
49,835.6700000000003,33,random,3
50,787.4100000000004,39,random,3
51,952.1600000000004,34,random,3
52,941.0700000000004,33,random,3
53,673.2600000000001,44,random,3
54,817.79,41,random,3
55,1483.6799999999994,72,random,3
56,860.9,20,random,3
57,749.8100000000003,19,random,3
58,1044.37,43,random,3
59,652.53,17,random,3
60,467.8399999999999,16,random,3
61,1148.2300000000012,67,random,3
62,1210.940000000001,46,random,3
63,444.9699999999999,23,random,3
64,1282.19,61,random,3
65,1206.3199999999997,48,random,3
66,849.4999999999998,40,random,3
67,1060.9900000000002,41,random,3
68,1183.0400000000009,56,random,3
69,1639.4999999999984,100,random,3
70,482.5899999999999,21,random,3
71,752.4900000000002,21,random,3
72,1346.8800000000006,52,random,3
73,554.8000000000001,20,random,3
74,482.8299999999999,27,random,3
75,711.33,27,random,3
76,724.7800000000002,32,random,3
77,638.76,24,random,3
78,486.80999999999983,29,random,3
79,1237.1000000000008,60,random,3
80,1107.1699999999998,53,random,3
81,882.1100000000004,29,random,3
82,1011.3300000000004,37,random,3
83,1068.6,40,random,3
84,699.8599999999996,34,random,3
85,595.3499999999999,15,random,3
86,660.34,36,random,3
87,639.3899999999996,21,random,3
88,1316.6100000000006,49,random,3
89,952.4900000000004,31,random,3
90,939.6900000000004,31,random,3
91,1401.0399999999986,66,random,3
92,849.4199999999996,38,random,3
93,851.85,45,random,3
94,729.8900000000001,41,random,3
95,546.4299999999998,27,random,3
96,1212.7599999999998,54,random,3
97,523.5699999999999,13,random,3
98,1187.2100000000005,39,random,3
99,579.9600000000003,24,random,3
100,1213.3599999999997,44,random,3
101,974.89,31,random,3
102,705.31,19,random,3
103,862.3800000000005,42,random,3
104,523.87,23,random,3
105,842.1300000000005,27,random,3
106,937.3300000000004,27,random,3
107,1039.17,33,random,3
108,1048.34,26,random,3
109,1149.4700000000007,53,random,3
110,1604.4599999999978,74,random,3
111,1321.29,51,random,3
112,667.8199999999999,28,random,3
113,639.2999999999997,20,random,3
114,844.51,39,random,3
115,753.9599999999999,24,random,3
116,827.01,29,random,3
117,1575.789999999999,61,random,3
118,1331.8499999999997,65,random,3
119,898.5100000000002,49,random,3
120,619.7199999999996,28,random,3
121,1048.9500000000005,35,random,3
122,771.6600000000002,34,random,3
123,732.17,33,random,3
124,764.35,25,random,3
125,579.98,22,random,3
126,965.3700000000003,33,random,3
127,864.7400000000007,46,random,3
128,734.2599999999998,34,random,3
129,748.1300000000002,27,random,3
130,937.11,29,random,3
131,769.4900000000002,31,random,3
132,784.8100000000004,39,random,3
133,580.37,23,random,3
134,866.5500000000001,35,random,3
135,981.84,36,random,3
136,753.67,23,random,3
137,1281.2199999999998,58,random,3
138,866.91,29,random,3
139,558.1599999999999,24,random,3
140,734.3099999999996,39,random,3
141,1262.2800000000009,52,random,3
142,731.0600000000001,34,random,3
143,827.8899999999998,31,random,3
144,954.87,33,random,3
145,788.5699999999998,33,random,3
146,1110.6500000000003,35,random,3
147,1001.11,39,random,3
148,865.7,30,random,3
149,1014.6700000000004,43,random,3
150,694.56,24,random,3
151,764.8000000000002,20,random,3
152,1951.5499999999963,95,random,3
153,1233.08,42,random,3
154,1070.5700000000006,43,random,3
155,640.5599999999997,24,random,3
156,863.95,25,random,3
157,712.49,31,random,3
158,861.4000000000002,40,random,3
159,1485.719999999999,68,random,3
160,582.2099999999998,19,random,3
161,885.8500000000001,35,random,3
162,1382.9699999999991,63,random,3
163,655.4,30,random,3
164,541.0,20,random,3
165,1092.3600000000006,44,random,3
166,819.6100000000002,39,random,3
167,653.05,25,random,3
168,830.2200000000001,38,random,3
169,1059.5800000000004,72,random,3
170,469.1700000000001,23,random,3
171,818.0900000000001,31,random,3
172,1183.3900000000003,41,random,3
173,1000.0400000000004,46,random,3
174,765.4800000000002,32,random,3
175,918.9900000000002,21,random,3
176,650.6400000000001,26,random,3
177,770.1099999999999,29,random,3
178,990.5900000000004,31,random,3
179,950.92,28,random,3
180,709.52,18,random,3
181,1245.04,56,random,3
182,939.47,53,random,3
183,1155.3500000000008,55,random,3
184,778.9599999999997,44,random,3
185,829.2700000000001,33,random,3
186,1173.1200000000003,58,random,3
187,1107.1000000000004,30,random,3
188,701.3699999999995,33,random,3
189,1557.9699999999991,73,random,3
190,886.4499999999999,35,random,3
191,1408.48,42,random,3
192,637.5399999999998,16,random,3
193,1546.4999999999986,60,random,3
194,819.4300000000002,27,random,3
195,642.0999999999998,30,random,3
196,996.2800000000004,42,random,3
197,659.1199999999999,38,random,3
198,730.08,32,random,3
199,784.2300000000004,27,random,3
200,637.53,17,random,3
201,695.4299999999998,27,random,3
202,1008.4600000000004,34,random,3
203,881.7600000000004,34,random,3
204,617.2599999999998,24,random,3
205,1262.2300000000005,37,random,3
206,802.9200000000002,28,random,3
207,1124.7200000000005,48,random,3
208,641.0699999999997,33,random,3
209,747.99,21,random,3
210,598.1699999999998,23,random,3
211,1057.480000000001,42,random,3
212,993.88,32,random,3
213,1152.3700000000006,43,random,3
214,930.07,43,random,3
215,1350.2000000000007,70,random,3
216,527.1899999999998,21,random,3
217,718.3399999999998,46,random,3
218,882.6600000000003,34,random,3
219,794.8600000000001,24,random,3
220,779.3100000000003,29,random,3
221,580.0399999999998,16,random,3
222,1075.1300000000003,47,random,3
223,1530.4999999999995,80,random,3
224,669.0900000000003,31,random,3
225,1430.489999999999,51,random,3
226,1142.6400000000008,46,random,3
227,1489.5999999999972,80,random,3
228,1050.5300000000002,27,random,3
229,1215.0400000000006,46,random,3
230,1180.3500000000006,35,random,3
231,985.9099999999996,49,random,3
232,881.4300000000004,27,random,3
233,1048.2300000000002,27,random,3
234,1098.94,66,random,3
235,686.7399999999999,26,random,3
236,768.3299999999998,27,random,3
237,710.7900000000001,21,random,3
238,979.5600000000004,34,random,3
239,1420.6600000000003,34,random,3
