episode,return,steps,avg_mastery,mastered_soft,mastered_hard,epsilon
0,1125.7600000000007,44,3.0,1,1,0.2988
1,926.3199999999999,38,3.0,1,1,0.2976048
2,948.7800000000004,42,3.0,1,1,0.2964143808
3,528.7899999999997,21,3.0,1,1,0.2952287232768
4,867.0100000000004,39,3.0,1,1,0.2940478083836928
5,783.9800000000002,32,3.0,1,1,0.292871617150158
6,659.7299999999997,27,3.0,1,1,0.29170013068155737
7,1047.8700000000001,43,3.0,1,1,0.29053333015883115
8,1295.4700000000007,43,3.0,1,1,0.28937119683819584
9,693.45,35,3.0,1,1,0.28821371205084306
10,672.0699999999999,33,3.0,1,1,0.2870608572026397
11,821.7700000000002,23,3.0,1,1,0.28591261377382915
12,768.6399999999998,26,3.0,1,1,0.28476896331873386
13,1083.400000000001,80,3.0,1,1,0.2836298874654589
14,1112.8500000000004,55,3.0,1,1,0.2824953679155971
15,672.0299999999999,37,3.0,1,1,0.2813653864439347
16,693.0500000000001,25,3.0,1,1,0.28023992489815897
17,811.1599999999996,44,3.0,1,1,0.2791189651985663
18,724.8900000000001,31,3.0,1,1,0.27800248933777205
19,868.6200000000006,48,3.0,1,1,0.27689047938042094
20,826.8500000000001,35,3.0,1,1,0.27578291746289924
21,471.68999999999994,31,3.0,1,1,0.27467978579304764
22,775.2599999999998,34,3.0,1,1,0.27358106664987547
23,482.44,26,3.0,1,1,0.27248674238327597
24,708.3900000000001,31,3.0,1,1,0.27139679541374284
25,755.1899999999998,31,3.0,1,1,0.2703112082320879
26,1088.0300000000007,47,3.0,1,1,0.2692299633991595
27,765.2300000000002,27,3.0,1,1,0.26815304354556285
28,1070.0400000000009,46,3.0,1,1,0.2670804313713806
29,526.5299999999999,17,3.0,1,1,0.26601210964589506
30,1053.8700000000003,33,3.0,1,1,0.26494806120731146
31,1387.099999999999,70,3.0,1,1,0.2638882689624822
32,1148.7700000000004,53,3.0,1,1,0.26283271588663226
33,653.0600000000001,24,3.0,1,1,0.26178138502308573
34,954.2800000000003,52,3.0,1,1,0.2607342594829934
35,724.6400000000001,26,3.0,1,1,0.25969132244506143
36,1182.7100000000005,39,3.0,1,1,0.2586525571552812
37,1261.730000000001,57,3.0,1,1,0.25761794692666007
38,691.16,14,3.0,1,1,0.2565874751389534
39,1794.6599999999976,74,3.0,1,1,0.2555611252383976
40,825.2400000000002,36,3.0,1,1,0.25453888073744396
41,807.4,30,3.0,1,1,0.2535207252144942
42,923.3700000000003,43,3.0,1,1,0.25250664231363623
43,861.8400000000001,26,3.0,1,1,0.2514966157443817
44,976.5000000000005,50,3.0,1,1,0.2504906292814042
45,1244.3000000000006,60,3.0,1,1,0.24948866676427858
46,869.3599999999998,34,3.0,1,1,0.24849071209722146
47,1008.8700000000002,63,3.0,1,1,0.24749674924883258
48,885.3600000000002,34,3.0,1,1,0.24650676225183726
49,835.6700000000003,33,3.0,1,1,0.2455207352028299
50,787.4100000000004,39,3.0,1,1,0.2445386522620186
